Layer,Name,GEOID,Population,Longitude,Latitude,PCT-W_2016-2020,PCT-B_2016-2020,PCT-A_2016-2020,PCT-H_2016-2020,PCT-P_2016-2020,PCT-Q_2016-2020,POP_2015-2019,EDB_2015-2019,EDX_2015-2019,INC_2015-2019,HDX_2015-2019,DIV_2015-2019,DIS_2015-2019,SVI_2020,CZM_2016-2020,HTJ_2015-2019,EVR_2018,RBU_2015-2019,VAC_2015-2019,PMC_2021,LFA_2019,UNS_2015-2019
Census tract,Tract 307.01,17031030701,1625,-87.65796590,41.98274530,42.9319371727749,32.9188481675393,14.1361256544503,8.44240837696335,0.0,1.57068062827225,1625.0,86.2244897959184,0.782380013149244,41860.0817231971,62.8,9.74289580514208,13.8024357239513,75.45,40.4,7.17439293598234,0.97,51.6713091922005,8.29959514170041,9.852247671,0.0,9.4722598105548
Census tract,Tract 307.02,17031030702,2211,-87.65482170,41.98068940,52.4659863945578,1.23299319727891,32.8231292517007,10.5442176870748,0.0,2.29591836734694,2211.0,96.5208747514911,0.582642151131895,61838.6606623927,18.7,3.52781546811398,12.5282677521483,69.97,10.4,5.15953835709437,0.51,35.8843537414966,11.1580217129071,9.851903562,0.0,5.74400723654455
Census tract,Tract 307.03,17031030703,2947,-87.65787080,41.97887480,57.2981878088962,14.9258649093904,4.81054365733114,20.7907742998353,0.0,2.17462932454695,2947.0,86.8280672958556,0.687503160875942,46197.3479447193,30.0,7.26162198846284,16.8306752629793,78.68,93.0,0.276548672566372,0.38,43.0188679245283,9.05432595573441,9.877800548,0.0,7.32948761452325
Census tract,Tract 307.06,17031030706,2845,-87.65097920,41.98046940,55.0468637346792,20.0072098053353,18.6373467916366,4.18168709444845,0.0,2.1268925739005,2845.0,95.648825567963,0.733648242837432,46153.8586037845,36.0,7.59226713532513,21.8277680140598,71.819306566346,103.8,2.23690899847483,0.7,60.8287724784988,11.3564668769716,9.854059726,0.0,11.9859402460457
Census tract,Tract 308,17031030800,4169,-87.66418800,41.97991230,68.8311688311688,4.57963089542037,9.56937799043062,15.1059466848941,0.0,1.3898382319435,4169.0,94.5283556568823,0.33286861812851,101497.757448036,5.1,3.86061669591376,11.6570569064929,38.35,155.2,0.0,0.19,31.5348837209302,10.7142857142857,9.891917808,0.0,1.75482577086989
Census tract,Tract 309,17031030900,3126,-87.67144540,41.97979510,69.1123485096626,6.1578774975434,9.76089092695709,10.6452669505405,0.0,4.32361611529643,3126.0,92.2191345772132,0.403852131905062,113653.558597129,5.1,5.47024952015355,8.1573896353167,31.44,68.0,0.0,0.0,30.6590257879656,8.26923076923077,9.935779452,0.0,7.93346129238644
Census tract,Tract 310,17031031000,3907,-87.67110940,41.97243700,62.8021835196257,1.48167403171302,5.58877047049649,26.4621783207694,0.0,3.66519365739537,3907.0,94.4584382871536,0.665992842409352,87935.4473701724,5.6,4.73007712082262,8.48329048843188,41.73,77.6,0.450450450450451,0.25,45.983606557377,4.40191387559809,9.959646849,0.0,8.56041131105398
Census tract,Tract 311,17031031100,4720,-87.66386620,41.97266840,72.7154046997389,4.41688424717145,8.65970409051349,8.98607484769365,0.0,5.22193211488251,4720.0,93.4738955823293,0.644749495571287,83607.7275893432,10.1,4.24568965517241,8.57758620689655,45.29,87.6,0.98754830399313,0.48,36.9111508646392,4.78331970564186,9.921966301,0.0,4.6551724137931
Census tract,Tract 312,17031031200,6359,-87.65734100,41.97270920,29.4787489975942,31.8364073777065,14.2261427425822,21.8283881315156,0.112269446672013,2.51804330392943,6359.0,73.4286314904352,0.798891712389572,43901.9593158677,74.6,7.56053368473069,16.5211661999671,93.81,183.2,6.14898102600141,0.7,47.7793361383824,9.56466476008897,9.901991507,0.0,14.6269148410476
Census tract,Tract 313,17031031300,7775,-87.64652980,41.97376460,47.3832734735762,16.2390969728066,22.1010774756285,10.7234479220113,0.243714725500256,3.30938943047717,7775.0,89.2701788303528,0.739343058901376,41435.7954701746,55.2,6.11938259800574,17.0741701953285,85.04,60.4,5.11242603550296,0.14,47.6655052264808,5.69196428571429,9.876071781,0.0,9.80740336019669
Census tract,Tract 314,17031031400,4964,-87.64240950,41.95844750,68.8636363636364,5.55785123966942,12.3140495867769,10.2892561983471,0.0,2.97520661157025,4964.0,96.1171662125341,0.448692990511172,74501.4838838484,5.6,1.53019023986766,10.4425144747725,37.82,161.0,3.09178743961353,0.8,40.2909090909091,12.9764573991031,9.903931507,0.0,4.88006617038875
Census tract,Tract 315.01,17031031501,4474,-87.65243440,41.96728850,32.2695035460993,32.0817688777639,17.2507300792658,16.4789319983312,0.0,1.91906549853984,4474.0,80.9690601284297,0.796450097781505,39158.4390070765,82.2,10.3270609318996,21.505376344086,97.2,87.2,7.30688935281837,0.51,51.047619047619,5.80137659783678,9.916555616,0.0,10.573476702509
Census tract,Tract 315.02,17031031502,4628,-87.65236560,41.96363260,34.8178137651822,36.0750053270829,3.23886639676113,22.6933731088856,0.0,3.17494140208822,4628.0,86.5735115431349,0.746701972242513,30127.5061114932,70.2,6.74646354733406,16.2132752992383,89.96,78.6,7.87368421052632,0.79,54.639175257732,6.42237982663515,9.931135068,0.0,17.0184983677911
Census tract,Tract 317,17031031700,6785,-87.66319540,41.96544660,66.1183727419592,17.506241738875,3.30444999265678,7.94536642678808,3.28976354824497,1.54207666323983,6785.0,93.3244579688094,0.651269162910253,59875.2760265312,34.3,3.63090772693173,10.1575393848462,42.86,145.0,3.5941387890517,0.59,50.9853249475891,7.80015294417538,9.960269315,0.0,4.66616654163541
Census tract,Tract 318,17031031800,1889,-87.67062090,41.96701140,61.7408906882591,3.99797570850202,13.7651821862348,13.663967611336,0.0,6.83198380566802,1889.0,96.7957276368491,0.558775470972703,89904.1355841966,3.7,3.44097406034939,6.61725780836421,29.1,31.2,3.06748466257669,0.0,34.2056074766355,5.5984555984556,9.981005479,0.0,6.9348861831657
Census tract,Tract 319,17031031900,2558,-87.67018410,41.96337400,72.659616137877,10.5757931844888,6.14962788875832,7.63807285546416,0.0,2.97688993341167,2558.0,93.0452061599603,0.511314079743681,73470.4682890038,8.9,4.06567630961689,8.36591086786552,32.4,56.4,1.18110236220472,0.0,39.8081534772182,5.15309932785661,9.999654795,0.33,3.87021110242377
Census tract,Tract 321,17031032100,7106,-87.65301790,41.95815380,64.3734300865197,8.74965113033771,4.13061680156294,20.1507116941111,0.0,2.27463019815797,7106.0,94.310430876726,0.520858466833132,68630.4228576499,27.1,10.1120367710428,16.4320597529446,82.76,185.6,4.18006430868167,0.55,38.218094255246,11.512365944408,9.955690137,0.0,6.85147945992531
Census tract,Tract 401,17031040100,4139,-87.68299550,41.98548070,66.7259786476868,4.39755973563803,2.87239450940519,22.9537366548043,0.38129130655821,2.66903914590747,4139.0,92.6342875522676,0.572479718766901,102324.054925797,10.2,1.58970476911431,5.72798385061822,35.34,84.0,3.15533980582524,0.12,24.7259439707674,9.84682713347921,9.943779452,59.85,7.94852384557154
Census tract,Tract 402.01,17031040201,6814,-87.69400050,41.97258040,65.1636363636364,1.33818181818182,8.36363636363636,21.6872727272727,0.0145454545454545,3.43272727272727,6814.0,91.9265033407572,0.70795756695266,77936.0811020653,9.5,2.09862048723217,7.82213090695627,37.16,117.6,1.33600534402138,0.16,44.7014523937601,4.64968152866242,10.03868521,0.0,4.49075432932198
Census tract,Tract 402.02,17031040202,7634,-87.69409600,41.97985490,37.727211525515,4.13356671603608,16.3726942237781,26.2286252861182,0.0,15.4301871549751,7634.0,86.9248954355337,0.817117297748594,50242.9173672885,59.3,4.44653412144009,7.56313809779688,94.52,148.6,3.61120485993925,0.28,50.6944444444444,8.2094175960347,10.01292027,0.0,18.1354110693176
