blockGroup,totalPopulation_MOE,femaleUnder5_MOE,female5to9_MOE,maleUnder5_MOE,male5to9_MOE,totalUnder5_MOE,totalUnder10_MOE,totalPopulationBG,pAllChildrenUnder5BG,pAllChildrenUnder10BG,totalChildrenUnder5BG,totalChildrenUnder10BG,pAllChildrenUnder5BG_MOE,pAllChildrenUnder5BG_MOE2,pAllChildrenUnder10BG_MOE,pAllChildrenUnder10BG_MOE2
171118701031,338,19,33,26,12,32.202484376209235,47.644516998286385,1114,0.027827648114901255,0.06552962298025135,31,73,0.027646540440680985,0.030114897727223665,0.037866415372704486,0.047164461481029436
171118701032,323,21,20,30,21,36.61966684720111,46.71188285650665,1446,0.06431535269709543,0.11341632088520055,92.99999999999999,164,0.020855487844622943,0.02911597569167335,0.020043263831217496,0.04105351523551535
171118701041,278,29,80,60,41,66.64082832618455,111.90174261377702,2209,0.0488909008601177,0.12992304210049796,108,287,0.02953375652731435,0.030788929455989326,0.04794587890103678,0.05323058709295084
171118701042,285,12,60,12,30,16.97056274847714,69.19537556802477,1425,0,0.06947368421052631,0,99,0.011909166841036588,0.011909166841036588,0.04652774467917768,0.05050701385702249
171118701043,470,138,38,106,37,174.01149387324966,181.91481522954638,1272,0.17688679245283018,0.2138364779874214,224.99999999999997,272,0.12017834096799766,0.15161286584404782,0.11920716995941918,0.16338944887727805
171118701051,373,12,12,12,26,16.97056274847714,33.28663395418648,1420,0,0.011971830985915493,0,17,0.011951100527096577,0.011951100527096577,0.023229397881338553,0.023651286858086287
171118701052,645,52,47,61,55,80.15609770940699,107.97684937059425,2372,0.06492411467116357,0.12563237774030353,154,298,0.028814339072879776,0.03812632124444659,0.030085564063434093,0.056914509134252105
171118701061,294,40,12,67,12,78.03204469959762,79.85612061701971,1015,0.09655172413793103,0.09655172413793103,98,98,0.07161161027465389,0.08180767720022346,0.07353756393666634,0.08349878222169672
171118701062,399,24,60,71,22,74.94664769020693,98.49365461794989,1870,0.04385026737967915,0.08609625668449197,82,161,0.038971011553384144,0.041156043957558695,0.04936298774671253,0.05578206036569784
171118702001,407,79,63,61,85,99.80981915623332,145.45102268461366,2190,0.07990867579908675,0.14246575342465753,175,312,0.04308786096249385,0.04793375496996093,0.060910412158112846,0.07149887902784328
171118702002,444,63,100,61,47,87.69264507357501,141.06381534610497,1460,0.10616438356164383,0.20616438356164385,155,301,0.05064837872260664,0.06819075533489095,0.07351450027215066,0.11517855927462269
171118702003,344,12,12,12,12,16.97056274847714,24,1202,0,0,0,0,0.014118604616037554,0.014118604616037554,0.019966722129783693,0.019966722129783693
171118702004,398,12,12,167,12,167.4305826305338,168.28844285927659,1009,0.11397423191278494,0.11397423191278494,115,115,0.15973100398804724,0.17191940185477078,0.1606140678414205,0.17274016871486791
171118703011,588,114,127,23,45,116.29703349613007,177.98595450203368,2267,0.0846934274371416,0.18703131892368768,192,424,0.0463586810994861,0.055805435819881316,0.06173140228471602,0.09228975258427066
171118703012,384,12,36,45,60,46.57252408878007,84.0535543567314,1120,0.0375,0.10446428571428572,42,117,0.03954500471562981,0.04352493127917772,0.06594971947438837,0.08315638274387238
