blockNum,medianAge,meanAge,nBlocks,minAge,maxAge,pOld
170311002006013,95,91.08333333333333,12,70,95,1
170311002006014,66,73.14285714285714,14,62,107,1
170311002006015,94,89.5,18,65,106,1
170311002006016,64,64.27272727272727,22,48,98,1
170311002006017,65,78.35,20,53,127,1
170311002006018,67,77.66666666666667,6,65,104,1
170311002006019,91,84.83333333333333,12,15,100,0.9166666666666666
170311002007000,94,91.94736842105263,19,63,95,1
170311002007001,94,83.82608695652173,23,62,95,1
170311002007002,93,93,12,93,93,1
170311002007003,93,90.84615384615384,13,65,93,1
170311002007004,91,87.5,10,56,91,1
170311002007005,79,88.5,14,79,122,1
170311002007006,72,79.5909090909091,22,63,107,1
170311002007007,100,93.6923076923077,13,61,102,1
170311002007008,78,78,11,78,78,1
170311002007009,78,77.18181818181819,11,69,78,1
170311002007010,68,67.72727272727273,11,67,68,1
170311002007012,68,69.28571428571429,7,67,79,1
170311002007013,96,89.91666666666667,12,68,96,1
170311002007014,96,91.25,12,68,96,1
170311002007015,94.5,90.25,12,67,98,1
170311002007016,93.5,80.79166666666667,24,30,120,0.8333333333333334
170311002007017,94,90.76923076923077,26,70,99,1
170311003001001,65,65,9,57,92,1
170311003001002,82,78.85714285714286,7,66,82,1
170311003001004,72,73.22222222222223,18,65,82,1
170311003001005,97.5,90,10,36,154,0.8
170311003001006,62.5,68.1875,16,56,86,1
170311003001007,73,77.11111111111111,9,52,102,1
170311003001008,98,88.71428571428571,7,36,99,0.8571428571428571
170311003001009,66.5,70.57142857142857,14,48,96,1
170311003001011,68,67.7,10,67,69,1
170311003001012,68,69.55555555555556,18,64,102,1
170311003001013,67,67.8125,16,36,96,0.9375
170311003001014,70,69.86666666666666,15,67,72,1
170311003001015,70,79.94117647058823,17,16,147,0.9411764705882353
170311003001016,94.5,88.33333333333333,12,70,102,1
170311003001018,99,100.25,8,95,107,1
170311003001019,111,90.57142857142857,7,14,142,0.7142857142857143
170311003001020,95,87.2,5,50,112,1
170311003001021,102,94.57142857142857,7,44,112,1
170311003001022,69,82.12,25,16,137,0.96
170311003001023,64,71.71428571428571,7,59,98,1
170311003001024,84,80.83333333333333,18,30,98,0.9444444444444444
170311003001025,91,84.21428571428571,14,64,98,1
170311003001026,78,77.15384615384616,13,62,94,1
170311003001027,104,97.13333333333334,15,44,132,1
170311003001028,69,77.55555555555556,9,63,95,1
170311003001029,81,79.55555555555556,9,62,96,1
170311003001030,68.5,73.88888888888889,18,14,99,0.8888888888888888
170311003001031,96,83.5,10,55,96,1
170311003001032,99,90.44,25,49,146,1
