AffectedChildren_T,AffectedChildrenUnfiltered_T,MeanBLLIncrease,AffectedChildren_A,AffectedChildren_B,AffectedChildren_H,AffectedChildren_W,AffectedChildrenUF_A,AffectedChildrenUF_B,AffectedChildrenUF_H,AffectedChildrenUF_W,ChildPopulation_T,ChildPopulation_A,ChildPopulation_B,ChildPopulation_H,ChildPopulation_W
117928.81924119891,21707.187331337234,1.1007964179460439,5799.905871581671,36725.15844477237,44045.75673589183,35306.3375354031,1302.9876879687133,5139.241407518165,7692.401961643018,8179.582278589067,188574.32767954285,11462.700906644166,58135.5349005489,60659.24809725938,62724.975040800535
116942.03657807126,22959.86802136525,1.1001215443547137,5880.597503656968,35463.16202446113,44160.08613444813,35389.00527785437,1313.910125658313,5885.932490142578,8216.916149243913,8214.65663536004,189210.39543382544,11600.689188301281,58230.18852610445,60476.71052943833,63240.2827669813
118724.09164799305,22214.377031366977,1.354305199062771,6192.284808097264,36181.145568707005,44251.21221854915,36138.687845993176,1460.4588871914566,4828.136759273722,7910.513818042488,8651.71855073419,193363.14839407112,12080.936330860633,59676.924549971125,61191.21558397071,64839.62338803543
119995.2479129404,22819.180689997997,1.244674369022893,6150.91414031891,36512.20281632091,45201.26144217169,36160.80147587594,1447.3724966905659,5130.612782991763,8283.634676920325,8643.141591381294,191903.52121496314,11786.762147602529,59676.752820142174,61086.11812748276,63721.010170810114
118823.3244804911,22525.821110492216,0.8362551288287613,5874.09179173939,36822.91077002401,44273.717395680666,35846.82380593628,1560.64778279138,5176.921677979722,7462.588785034864,8869.090802980192,190819.505667142,11662.062465382856,58800.9537226307,61134.67688327006,63655.4765738392
119317.7574227034,20925.14966055399,0.6712439957682509,5996.229859416146,36194.33052158249,45246.192857820315,36004.05572027878,1434.111359328167,4716.24450029328,6951.688154747528,8350.753730598759,191461.62254266648,11977.981335712682,57994.49856478162,62032.15897337519,64045.72158794426
119632.16774412093,21861.658352456387,1.2649203003842788,5805.672825618771,36862.47696684633,45032.84600271666,35971.05696874407,1243.8239670620137,5287.179391649221,7496.65754485073,8395.060976804547,190557.98769385737,11434.461258839421,59872.484329860505,61513.113415523265,62240.29387235943
120055.1051303568,23851.822732227884,0.7232834401539731,5893.598858423135,37517.855821000005,44507.494973641726,36098.90080774915,1443.1143299165617,6227.033688789922,8205.398597093397,8593.016065311289,191523.61718755987,11561.229695177257,59453.943714433604,60910.10258943467,63991.73535761727
118170.50570244552,19852.4737057469,0.8294657988100427,6096.119490912928,35572.132224451016,44934.738696377535,35681.02630259551,1187.1429340851532,4353.054402043348,6818.976581534774,8032.413049273994,190659.02795669442,11669.661506638311,58368.939616468786,61716.70865861383,63393.82110203402
120038.08770735793,21801.334495278683,0.5039693558915674,6240.12376567747,36569.03762449712,44985.875173884786,36315.791381645984,1236.9414391179744,5507.32462470771,7539.066595358137,8127.056494187071,191140.564788947,11922.764805417311,57863.012035182874,61147.44454396499,64556.36988895498
118876.74936263452,22133.62079122579,0.9836808982715192,5927.916242919105,36428.328548674785,44687.52369128938,35834.306007295076,1404.7218387689413,4959.4656227866,8007.553316801808,8397.755968725503,190035.45252148,11724.326072073298,58483.705810237254,60886.26080940874,63325.62970451335
118826.04484574118,21855.95815012761,1.0756341999722525,5983.244359203195,35889.578788810104,44919.763238446576,36049.9260998504,1299.650336074319,5378.614418362131,7593.4883246710015,8170.483494788961,189493.69501624056,11780.018234055316,58203.18185064256,61046.737248755635,62895.43778435531
118371.42864289835,22882.532150519968,1.2056277591116962,5919.9871209044695,36354.45432032275,44145.29284191095,35812.20433483816,1260.5800953040077,5884.8708299143445,8267.74551589657,8126.100946906891,191671.01919611404,11887.623794364776,59721.82090265804,60813.31795235623,63576.54679962765
119520.13940086312,22549.1659045734,1.4051602313704254,5971.610634041733,36558.4447673354,44861.01684236509,36162.34105256426,1622.2308728569237,5427.335277189279,7643.036634523183,8427.038356613102,190453.703178676,11766.59706454189,58933.598010940375,61022.41070513592,63182.15447853677
118842.43689037427,22963.11260516386,1.158440389080155,5783.980049053612,36872.96742006686,44695.82333963313,35520.55432440735,1266.0008605946316,5465.185696848056,8445.636002726469,8481.547423128432,190803.44762962096,12007.584164965541,58963.39063619503,60549.84097124822,63626.7012596787
118914.28657266602,21792.710805860897,1.2597728764509541,5918.616273791846,36482.85909537445,44631.77566783697,35968.44842039928,1263.1279180081458,5249.47088473969,7789.032166010937,8129.927138832617,192036.66061744525,11679.155682122144,59571.5705116421,61247.29609658066,64108.100089588384
