Address,City,State,Zip,Date Sampled,1st Draw,2-3 Minute,5 Minute,sequential,Address2,cxy_lon,cxy_lat,cxy_state_id,cxy_county_id,cxy_tract_id,cxy_block_id
2830 E 96TH ST,Chicago,IL,,2019-09-19T00:00:00Z,6.1,9.4,4.8,FALSE,2849 E 96TH ST,-87.55484825999997,41.720839640000065,17,31,510100,1019
2830 N RIVERWALK DR,Chicago,IL,,2020-07-27T00:00:00Z,< 1,< 1,< 1,FALSE,2849 N RIVERWALK DR,NA,NA,NA,NA,NA,NA
2830 W CONGRESS PKWY,Chicago,IL,,2021-08-31T08:00:00Z,<1.0,<1.0,<1.0,FALSE,2849 W CONGRESS PKWY,-87.69765493299997,41.87482902800008,17,31,837000,1021
2830 W CORTEZ ST,Chicago,IL,,2021-03-29T00:00:00Z,< 1,< 1,< 1,FALSE,2849 W CORTEZ ST,-87.69830772899996,41.900424928000064,17,31,240900,1029
2830 W MCLEAN AVE,Chicago,IL,,2021-05-13T00:00:00Z,2.2999999999999998,5.2,2.8,FALSE,2849 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2830 W MCLEAN AVE,Chicago,IL,,2021-10-03T10:40:00Z,<1.0,<1.0,<1.0,FALSE,2849 W MCLEAN AVE,NA,NA,NA,NA,NA,NA
2930 N RIVERWALK DR,Chicago,IL,,2018-08-06T00:00:00Z,< 1,< 1,< 1,FALSE,2949 N RIVERWALK DR,NA,NA,NA,NA,NA,NA
2930 N ROCKWELL ST,Chicago,IL,,2019-02-11T00:00:00Z,< 1,< 1,< 1,FALSE,2949 N ROCKWELL ST,-87.69274274299994,41.93520715500006,17,31,210900,1033
2930 N ROCKWELL ST,Chicago,IL,,2019-02-17T00:00:00Z,2.5,4.0999999999999996,1.3,FALSE,2949 N ROCKWELL ST,-87.69274274299994,41.93520715500006,17,31,210900,1033
2930 N ROCKWELL ST,Chicago,IL,,2021-07-27T05:32:00Z,2.4,2.6,2.4,FALSE,2949 N ROCKWELL ST,-87.69274274299994,41.93520715500006,17,31,210900,1033
2930 W HOWARD ST,Chicago,IL,,2019-02-23T00:00:00Z,1.1000000000000001,4,< 1,FALSE,2949 W HOWARD ST,-87.70310196799994,42.01919378200006,17,31,20200,3001
2930 W HOWARD ST,Chicago,IL,,2019-03-12T00:00:00Z,2.1,5.7,< 1,FALSE,2949 W HOWARD ST,-87.70310196799994,42.01919378200006,17,31,20200,3001
2930 W HOWARD ST,Chicago,IL,,2020-07-16T00:00:00Z,< 1,< 1,< 1,FALSE,2949 W HOWARD ST,-87.70310196799994,42.01919378200006,17,31,20200,3001
2930 W HOWARD ST,Chicago,IL,,2021-09-08T07:00:00Z,3.4,1.4,1.4,FALSE,2949 W HOWARD ST,-87.70310196799994,42.01919378200006,17,31,20200,3001
230 E WACKER DR,Chicago,IL,,2019-11-19T00:00:00Z,< 1,< 1,< 1,FALSE,249 E WACKER DR,-87.62160225099996,41.88790056400006,17,31,320102,1010
230 E WACKER DR,Chicago,IL,,2021-12-25T06:11:00Z,<0.5,<0.5,<0.5,FALSE,249 E WACKER DR,-87.62160225099996,41.88790056400006,17,31,320102,1010
230 N WESTSHORE DR,Chicago,IL,,2019-12-05T00:00:00Z,< 1,< 1,< 1,FALSE,249 N WESTSHORE DR,NA,NA,NA,NA,NA,NA
230 W CONCORD LN,Chicago,IL,,2018-08-21T00:00:00Z,2,1,1,FALSE,249 W CONCORD LN,NA,NA,NA,NA,NA,NA
3030 W DIVERSEY,Chicago,IL,,2018-12-05T00:00:00Z,65,120,15,FALSE,3049 W DIVERSEY,NA,NA,NA,NA,NA,NA
3130 S GREEN ST,Chicago,IL,,2018-12-20T00:00:00Z,< 1,< 1,< 1,FALSE,3149 S GREEN ST,-87.64712605699998,41.836023752000074,17,31,600900,1000
3130 W HOWARD ST,Chicago,IL,,2019-06-14T00:00:00Z,5,3.2,1.2,FALSE,3149 W HOWARD ST,-87.70763927099995,42.01911278100005,17,31,20200,3003
3130 W HOWARD ST,Chicago,IL,,2019-07-24T00:00:00Z,1.1000000000000001,1.1000000000000001,2.9,FALSE,3149 W HOWARD ST,-87.70763927099995,42.01911278100005,17,31,20200,3003
3130 W HOWARD ST,Chicago,IL,,2021-09-02T05:40:00Z,1.6,2.2000000000000002,<1.0,FALSE,3149 W HOWARD ST,-87.70763927099995,42.01911278100005,17,31,20200,3003
3130 W SHERWIN AVE,Chicago,IL,,2021-11-07T21:10:00Z,11,11,4.5,FALSE,3149 W SHERWIN AVE,-87.70756132499997,42.01455879000008,17,31,20200,1010
3230 W 71STST,Chicago,IL,,2017-04-09T00:00:00Z,1.7,< 1,< 1,FALSE,3249 W 71STST,NA,NA,NA,NA,NA,NA
3230 W LE MOYNE ST,Chicago,IL,,2017-11-05T00:00:00Z,< 1,< 1,< 1,FALSE,3249 W LE MOYNE ST,NA,NA,NA,NA,NA,NA
3230 W LE MOYNE ST,Chicago,IL,,2021-03-09T00:00:00Z,4.5999999999999996,2.9,1.9,FALSE,3249 W LE MOYNE ST,NA,NA,NA,NA,NA,NA
3430 N LAKE SHORE DR,Chicago,IL,,2016-05-25T00:00:00Z,< 1,< 1,< 1,FALSE,3449 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
3430 N LAKE SHORE DR,Chicago,IL,,2016-06-03T00:00:00Z,< 1,< 1,< 1,FALSE,3449 N LAKE SHORE DR,NA,NA,NA,NA,NA,NA
