blockGroup,totalPopulation_MOE,femaleUnder5_MOE,female5to9_MOE,maleUnder5_MOE,male5to9_MOE,totalUnder5_MOE,totalUnder10_MOE
171194035341,380,6,11,12,41,13.416407864998739,44.51965857910413
171194035342,294,13,15,36,38,38.27531841800928,55.98214000911362
171194036011,366,85,68,83,47,118.80235687897779,144.73078456223473
171194036031,214,31,37,25,21,39.824615503479755,58.27520913733386
171194036041,421,57,76,48,12,74.51845409024533,107.11209082078456
171194036042,594,86,41,55,55,102.08329931972223,122.99186964998947
171194036043,468,12,112,104,101,104.6900186264192,183.5892153695309
171194036044,377,12,12,83,29,83.86298349093002,89.54328562209453
171194037011,348,60,49,18,70,62.6418390534633,105.94810050208545
171194037012,373,41,71,37,43,55.226805085936306,99.69954864491613
171194037013,310,12,26,58,62,59.22837157984339,89.59910713840847
171194037014,237,16,34,31,27,34.88552708502482,55.695601262577284
171194037021,287,28,30,41,65,49.64876634922564,87.12060605849801
171194037022,334,35,34,40,46,53.150729063673246,78.08328886515987
171194037023,267,19,5,76,27,78.33900688673555,83.01204731844649
171194037024,265,79,50,61,37,99.80981915623332,117.60527199067225
171194038011,342,17,13,25,12,30.23243291566195,35.02855977627399
171194038012,397,16,16,13,6,20.615528128088304,26.77685567799177
171194038013,192,67,104,45,97,80.7093550959243,163.52064089893972
171194038014,195,35,26,16,26,38.48376280978771,53.225933528685054
171194038021,227,19,38,22,17,29.068883707497267,50.774009099144415
171194038022,223,11,43,20,25,22.825424421026653,54.72659317004851
171194038023,166,5,3,4,9,6.4031242374328485,11.445523142259598
171194038024,235,23,43,45,21,50.53711507397311,69.59885056522126
171194040001,262,48,56,12,56,49.47726750741192,93.38094023943002
171194040002,333,58,59,15,14,59.90826320300064,85.24083528450434
171194040003,221,12,12,12,12,16.97056274847714,24
171194040004,172,12,20,12,12,16.97056274847714,28.844410203711913
171194041001,202,24,24,23,53,33.24154027718932,67.00746227100382
171194041002,253,27,31,24,25,36.124783736376884,53.76802023508026
