Address,City,State,Zip,Date Sampled,1st Draw,2-3 Minute,5 Minute,sequential,Address2,number,street,streetName,is_letter,cxy_lon,cxy_lat,cxy_state_id,cxy_county_id,cxy_tract_id,cxy_block_id
4130 N KEDVALE AVE,Chicago,IL,,2021-09-21T05:56:00Z,1.1000000000000001,<1.0,<1.0,FALSE,4130 N KEDVALE AVE,4130, N KEDVALE AVE,KEDVALE AVE,FALSE,NA,NA,NA,NA,NA,NA
4130 N MCVICKER AVE,Chicago,IL,,2019-09-20T00:00:00Z,5.2,5.9,3.3,FALSE,4130 N MCVICKER AVE,4130, N MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
4130 N MCVICKER AVE,Chicago,IL,,2020-01-21T00:00:00Z,2.5,18,2,FALSE,4130 N MCVICKER AVE,4130, N MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
4130 N MCVICKER AVE,Chicago,IL,,2020-02-24T00:00:00Z,7.3,9.8000000000000007,3.1,FALSE,4130 N MCVICKER AVE,4130, N MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
4130 N MCVICKER AVE,Chicago,IL,,2021-07-29T06:30:00Z,2,7.3,4.4000000000000004,FALSE,4130 N MCVICKER AVE,4130, N MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
4330 S ST LAWRENCE AVE,Chicago,IL,,2018-12-02T00:00:00Z,3.3,2.6,1,FALSE,4330 S ST LAWRENCE AVE,4330, S ST LAWRENCE AVE,ST LAWRENCE AVE,FALSE,NA,NA,NA,NA,NA,NA
4430 N MCVICKER AVE,Chicago,IL,,2018-08-23T00:00:00Z,4,15,2.9,FALSE,4430 N MCVICKER AVE,4430, N MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
4530 N MCVICKER AVE,Chicago,IL,,2018-04-18T00:00:00Z,1.4,1.1000000000000001,< 1,FALSE,4530 N MCVICKER AVE,4530, N MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
4530 N MCVICKER AVE,Chicago,IL,,2019-04-02T00:00:00Z,< 1,1.3,< 1,FALSE,4530 N MCVICKER AVE,4530, N MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
4530 N MCVICKER AVE,Chicago,IL,,2019-04-08T00:00:00Z,1.7,2.4,1.4,FALSE,4530 N MCVICKER AVE,4530, N MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
4530 N MCVICKER AVE,Chicago,IL,,2019-06-08T00:00:00Z,1.9,1.7,1.4,FALSE,4530 N MCVICKER AVE,4530, N MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
4530 N MCVICKER AVE,Chicago,IL,,2019-10-02T00:00:00Z,< 1,< 1,< 1,FALSE,4530 N MCVICKER AVE,4530, N MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
4530 N MCVICKER AVE,Chicago,IL,,2019-10-09T00:00:00Z,6.3,13,2,FALSE,4530 N MCVICKER AVE,4530, N MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
4530 S ST LAWRENCE AVE,Chicago,IL,,2019-07-23T00:00:00Z,< 1,< 1,< 1,FALSE,4530 S ST LAWRENCE AVE,4530, S ST LAWRENCE AVE,ST LAWRENCE AVE,FALSE,NA,NA,NA,NA,NA,NA
4630 S ST LAWRENCE AVE,Chicago,IL,,2018-09-23T00:00:00Z,1.7,3.5,2,FALSE,4630 S ST LAWRENCE AVE,4630, S ST LAWRENCE AVE,ST LAWRENCE AVE,FALSE,NA,NA,NA,NA,NA,NA
4730 S ST LAWRENCE AVE,Chicago,IL,,2018-01-05T00:00:00Z,< 1,< 1,< 1,FALSE,4730 S ST LAWRENCE AVE,4730, S ST LAWRENCE AVE,ST LAWRENCE AVE,FALSE,NA,NA,NA,NA,NA,NA
4730 W BELLE PLAINE AVE,Chicago,IL,,2021-11-06T09:48:00Z,5.0999999999999996,6.8,2.8,FALSE,4730 W BELLE PLAINE AVE,4730, W BELLE PLAINE AVE,BELLE PLAINE AVE,FALSE,NA,NA,NA,NA,NA,NA
4830 N MCVICKER AVE,Chicago,IL,,2016-09-10T00:00:00Z,4.3,3.8,3.5,FALSE,4830 N MCVICKER AVE,4830, N MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
4830 N MCVICKER AVE,Chicago,IL,,2021-10-18T07:00:00Z,3.7,12,4.4000000000000004,FALSE,4830 N MCVICKER AVE,4830, N MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
4830 S SAINT LAWRENCE AVE,Chicago,IL,,2019-07-25T00:00:00Z,4.5,3.2,2.1,FALSE,4830 S SAINT LAWRENCE AVE,4830, S SAINT LAWRENCE AVE,SAINT LAWRENCE AVE,FALSE,NA,NA,NA,NA,NA,NA
4930 N MCVICKER AVE,Chicago,IL,,2019-12-10T00:00:00Z,< 1,< 1,< 1,FALSE,4930 N MCVICKER AVE,4930, N MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
4930 N MCVICKER AVE,Chicago,IL,,2020-01-22T00:00:00Z,1.4,1.2,< 1,FALSE,4930 N MCVICKER AVE,4930, N MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
4930 N MCVICKER AVE,Chicago,IL,,2021-09-04T10:10:00Z,2.6,3.3,5.4,FALSE,4930 N MCVICKER AVE,4930, N MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
5030 N MCVICKER AVE,Chicago,IL,,2019-05-01T00:00:00Z,1.4,2.4,2.2000000000000002,FALSE,5030 N MCVICKER AVE,5030, N MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
5030 N MCVICKER AVE,Chicago,IL,,2019-10-28T00:00:00Z,5.9,4.5999999999999996,4.7,FALSE,5030 N MCVICKER AVE,5030, N MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
5130 S MC VICKER ST,Chicago,IL,,2019-08-12T00:00:00Z,11,14,4.0999999999999996,FALSE,5130 S MC VICKER ST,5130, S MC VICKER ST,MC VICKER ST,FALSE,NA,NA,NA,NA,NA,NA
5130 S MCVICKER AVE,Chicago,IL,,2019-09-01T00:00:00Z,< 1,2.1,< 1,FALSE,5130 S MCVICKER AVE,5130, S MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
5130 S MCVICKER AVE,Chicago,IL,,2021-09-21T08:50:00Z,6.1,6.3,4.0999999999999996,FALSE,5130 S MCVICKER AVE,5130, S MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
5230 N OLEANDER,Chicago,IL,,2019-04-14T00:00:00Z,12,29,13,FALSE,5230 N OLEANDER,5230, N OLEANDER,OLEANDER,FALSE,NA,NA,NA,NA,NA,NA
5330 N LAULAM AVE,Chicago,IL,,2018-11-20T00:00:00Z,1.4,9,1.2,FALSE,5330 N LAULAM AVE,5330, N LAULAM AVE,LAULAM AVE,FALSE,NA,NA,NA,NA,NA,NA
5330 N VIRGINIA AVE,Chicago,IL,,2018-04-28T00:00:00Z,3.3,12,9.3000000000000007,FALSE,5330 N VIRGINIA AVE,5330, N VIRGINIA AVE,VIRGINIA AVE,FALSE,NA,NA,NA,NA,NA,NA
5330 N VIRGINIA AVE,Chicago,IL,,2018-08-03T00:00:00Z,1.6,1.7,1.3,FALSE,5330 N VIRGINIA AVE,5330, N VIRGINIA AVE,VIRGINIA AVE,FALSE,NA,NA,NA,NA,NA,NA
5330 N VIRGINIA AVE,Chicago,IL,,2019-07-22T00:00:00Z,2.2999999999999998,7.8,2,FALSE,5330 N VIRGINIA AVE,5330, N VIRGINIA AVE,VIRGINIA AVE,FALSE,NA,NA,NA,NA,NA,NA
5330 S MCVICKER AVE,Chicago,IL,,2021-04-01T00:00:00Z,4.4000000000000004,1.6,1.4,FALSE,5330 S MCVICKER AVE,5330, S MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
5330 S MCVICKER AVE,Chicago,IL,,2021-08-02T06:46:00Z,6,5.3,14,FALSE,5330 S MCVICKER AVE,5330, S MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
5430 S MCVICKER AVE,Chicago,IL,,2019-02-11T00:00:00Z,2.5,6.7,< 1,FALSE,5430 S MCVICKER AVE,5430, S MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
5530 S MCVICKER AVE,Chicago,IL,,2019-03-02T00:00:00Z,2.2999999999999998,6.1,< 1,FALSE,5530 S MCVICKER AVE,5530, S MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
5530 S MCVICKER AVE,Chicago,IL,,2021-11-15T05:00:00Z,2.5,6.4,2.1,FALSE,5530 S MCVICKER AVE,5530, S MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
5630 N VIRGINIA AVE,Chicago,IL,,2016-08-26T00:00:00Z,4.5999999999999996,2.9,2.6,FALSE,5630 N VIRGINIA AVE,5630, N VIRGINIA AVE,VIRGINIA AVE,FALSE,NA,NA,NA,NA,NA,NA
5630 N VIRGINIA AVE,Chicago,IL,,2018-08-07T00:00:00Z,9.1999999999999993,1.8,1.5,FALSE,5630 N VIRGINIA AVE,5630, N VIRGINIA AVE,VIRGINIA AVE,FALSE,NA,NA,NA,NA,NA,NA
5630 N VIRGINIA AVE,Chicago,IL,,2019-06-17T00:00:00Z,< 1,1.3,< 1,FALSE,5630 N VIRGINIA AVE,5630, N VIRGINIA AVE,VIRGINIA AVE,FALSE,NA,NA,NA,NA,NA,NA
5630 N VIRGINIA AVE,Chicago,IL,,2019-09-16T00:00:00Z,5.5,5.3,2.2999999999999998,FALSE,5630 N VIRGINIA AVE,5630, N VIRGINIA AVE,VIRGINIA AVE,FALSE,NA,NA,NA,NA,NA,NA
5730 N VIRGINIA AVE,Chicago,IL,,2017-11-05T00:00:00Z,8.6,15,9.4,FALSE,5730 N VIRGINIA AVE,5730, N VIRGINIA AVE,VIRGINIA AVE,FALSE,NA,NA,NA,NA,NA,NA
5730 N VIRGINIA AVE,Chicago,IL,,2019-03-05T00:00:00Z,2.1,8.8000000000000007,< 1,FALSE,5730 N VIRGINIA AVE,5730, N VIRGINIA AVE,VIRGINIA AVE,FALSE,NA,NA,NA,NA,NA,NA
5730 N VIRGINIA AVE,Chicago,IL,,2020-01-19T00:00:00Z,4.2,11,2.7,FALSE,5730 N VIRGINIA AVE,5730, N VIRGINIA AVE,VIRGINIA AVE,FALSE,NA,NA,NA,NA,NA,NA
5730 S MCVICKER AVE,Chicago,IL,,2018-06-16T00:00:00Z,2,2.1,2,FALSE,5730 S MCVICKER AVE,5730, S MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
5730 S MCVICKER AVE,Chicago,IL,,2018-11-06T00:00:00Z,2.7,6.5,1.7,FALSE,5730 S MCVICKER AVE,5730, S MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
5730 S MCVICKER AVE,Chicago,IL,,2019-04-11T00:00:00Z,3.2,7.1,5.4,FALSE,5730 S MCVICKER AVE,5730, S MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
5730 S MCVICKER AVE,Chicago,IL,,2019-08-06T00:00:00Z,3.3,8.4,3.7,FALSE,5730 S MCVICKER AVE,5730, S MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
5730 S MCVICKER AVE,Chicago,IL,,2021-07-29T07:00:00Z,1.7,1.6,1,FALSE,5730 S MCVICKER AVE,5730, S MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
5730 S MCVICKER AVE,Chicago,IL,,2022-04-03T10:00:00Z,3.8,6.8,0.9,FALSE,5730 S MCVICKER AVE,5730, S MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
5830 N VIRGINIA AVE,Chicago,IL,,2018-04-14T00:00:00Z,1.8,1.2,< 1,FALSE,5830 N VIRGINIA AVE,5830, N VIRGINIA AVE,VIRGINIA AVE,FALSE,NA,NA,NA,NA,NA,NA
5830 N VIRGINIA AVE,Chicago,IL,,2019-10-21T00:00:00Z,4.0999999999999996,5.2,2.1,FALSE,5830 N VIRGINIA AVE,5830, N VIRGINIA AVE,VIRGINIA AVE,FALSE,NA,NA,NA,NA,NA,NA
5830 N VIRGINIA AVE,Chicago,IL,,2021-04-12T00:00:00Z,8.4,18,3.5,FALSE,5830 N VIRGINIA AVE,5830, N VIRGINIA AVE,VIRGINIA AVE,FALSE,NA,NA,NA,NA,NA,NA
5830 S MCVICKER AVE,Chicago,IL,,2019-08-05T00:00:00Z,11,10,3.6,FALSE,5830 S MCVICKER AVE,5830, S MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
5930 N VIRGINIA AVE,Chicago,IL,,2019-05-03T00:00:00Z,1.8,2.9,4,FALSE,5930 N VIRGINIA AVE,5930, N VIRGINIA AVE,VIRGINIA AVE,FALSE,NA,NA,NA,NA,NA,NA
5930 S MCVICKER AVE,Chicago,IL,,2019-05-01T00:00:00Z,2.4,3.7,< 1,FALSE,5930 S MCVICKER AVE,5930, S MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
5930 S MCVICKER AVE,Chicago,IL,,2019-07-10T00:00:00Z,3.8,13,2.8,FALSE,5930 S MCVICKER AVE,5930, S MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
530 E 91STPL,Chicago,IL,,2017-01-25T00:00:00Z,2,< 1,< 1,FALSE,530 E 91STPL,53091, E STPL,91STPL,FALSE,NA,NA,NA,NA,NA,NA
530 W QUINCY ST,Chicago,IL,,2019-04-16T00:00:00Z,< 1,< 1,< 1,FALSE,530 W QUINCY ST,530, W QUINCY ST,QUINCY ST,FALSE,NA,NA,NA,NA,NA,NA
6030 S MCVICKER AVE,Chicago,IL,,2019-04-10T00:00:00Z,3.9,10,2.4,FALSE,6030 S MCVICKER AVE,6030, S MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
6130 S MCVICKER AVE,Chicago,IL,,2019-03-18T00:00:00Z,2.1,7.5,1.2,FALSE,6130 S MCVICKER AVE,6130, S MCVICKER AVE,MCVICKER AVE,FALSE,NA,NA,NA,NA,NA,NA
